NAME,geometry,STATE,STATE_GEOCODE,Avg_CC_Jan,Avg_CC_Feb,Avg_CC_Mar,Avg_CC_Apr,Avg_CC_May,Avg_CC_Jun,Avg_CC_Jul,Avg_CC_Aug,Avg_CC_Sep,Avg_CC_Oct,Avg_CC_Nov,Avg_CC_Dec,CC_Level_Jan,CC_Level_Feb,CC_Level_Mar,CC_Level_Apr,CC_Level_May,CC_Level_Jun,CC_Level_Jul,CC_Level_Aug,CC_Level_Sep,CC_Level_Oct,CC_Level_Nov,CC_Level_Dec,Avg_CC_Summer,CC_Level_Summer,Avg_CC_Autumn,CC_Level_Autumn,Avg_CC_Winter,CC_Level_Winter,Avg_CC_Spring,CC_Level_Spring,ProbCC_30_Jan,ProbCC_30_Feb,ProbCC_30_Mar,ProbCC_30_Apr,ProbCC_30_May,ProbCC_30_Jun,ProbCC_30_Jul,ProbCC_30_Aug,ProbCC_30_Sep,ProbCC_30_Oct,ProbCC_30_Nov,ProbCC_30_Dec
18LXR,"POLYGON Z ((-74.09227431799997 -8.141019404999952 0, -73.09586963699996 -8.137569233999955 0, -73.09088498799997 -9.13018589099994 0, -74.08989670699998 -9.13406346499994 0, -74.09227431799997 -8.141019404999952 0))",AC,12,75.99,73.91,73.24,62.27,55.73,37.68,13.54,37.05,29.07,50.4,72.63,72.05,7,7,7,6,5,3,1,3,2,5,7,7,74.08,7,64.19,6,27.89,2,53.64,5,18.75,18.52,3.7,19.23,17.39,57.89,81.48,59.09,53.33,33.33,13.04,14.29
18LYQ,"POLYGON Z ((-73.18084308499994 -9.041687251999974 0, -72.18260926199997 -9.035375954999949 0, -72.17445434599995 -10.02728575099997 0, -73.17557257399994 -10.03430302599998 0, -73.18084308499994 -9.041687251999974 0))",AC,12,62.89,70.83,65.92,67.47,43.74,41.85,13.13,63.35,33.05,70.44,79.33,60.64,6,7,6,6,4,4,1,6,3,7,7,6,65.14,6,59.81,5,40.94,4,63.72,6,8.33,6.67,14.29,14.29,50.0,60.0,80.0,33.33,62.5,18.18,9.09,15.38
18LYR,"POLYGON Z ((-73.18514538599999 -8.137978066999949 0, -72.18926614299994 -8.132306258999961 0, -72.18191458999996 -9.124270961999969 0, -73.18039412199994 -9.130645369999968 0, -73.18514538599999 -8.137978066999949 0))",AC,12,70.93,75.34,69.12,59.4,45.7,40.94,14.61,71.43,27.19,62.13,86.8,63.9,7,7,6,5,4,4,1,7,2,6,8,6,70.59,7,59.02,5,40.86,4,61.86,6,7.69,6.25,14.29,28.57,45.45,40.0,78.57,25.0,75.0,27.27,0.0,25.0
18LZQ,"POLYGON Z ((-72.27149179999998 -9.036048067999957 0, -71.27404851699998 -9.027271041999938 0, -71.26327685899997 -10.01827426799997 0, -72.26359335899997 -10.02803304399993 0, -72.27149179999998 -9.036048067999957 0))",AC,12,72.47,83.15,79.7,62.95,39.16,35.45,6.15,38.27,23.09,47.7,74.27,73.24,7,8,7,6,3,3,0,3,2,4,7,7,76.42,7,62.85,6,25.35,2,50.01,5,11.54,10.71,8.57,21.43,48.0,45.0,91.67,55.0,80.0,52.63,4.17,3.7
18LZR,"POLYGON Z ((-72.27793931399998 -8.132910270999957 0, -71.28284153499999 -8.125022544999979 0, -71.27313093499998 -9.116085005999935 0, -72.27081897599999 -9.124949794999964 0, -72.27793931399998 -8.132910270999957 0))",AC,12,62.56,86.17,73.91,63.13,42.91,35.77,8.46,41.14,20.91,43.87,71.43,74.26,6,8,7,6,4,3,0,4,2,4,7,7,74.77,7,61.99,6,27.94,2,48.25,4,24.0,0.0,16.13,25.93,47.62,57.14,90.91,55.0,80.0,44.44,18.52,7.14
18MXS,"POLYGON Z ((-74.09419464599995 -7.236383950999937 0, -73.09989561199995 -7.233321356999966 0, -73.09544973599998 -8.225984791999963 0, -74.09207403099998 -8.229472946999977 0, -74.09419464599995 -7.236383950999937 0))",AC,12,73.79,72.15,72.58,61.62,58.72,43.25,18.45,43.03,25.26,54.79,68.71,74.96,7,7,7,6,5,4,1,4,2,5,6,7,73.63,7,64.58,6,33.78,3,52.44,5,13.33,11.54,7.14,17.86,20.83,52.63,68.0,45.45,62.5,31.58,16.67,8.0
18MXT,"POLYGON Z ((-74.09588341499995 -6.331712202999938 0, -73.10343613499998 -6.32903571099996 0, -73.09952344099997 -7.321740856999952 0, -74.09401712599998 -7.32484127999993 0, -74.09588341499995 -6.331712202999938 0))",AM,13,74.75,78.74,75.2,69.93,58.42,45.47,29.71,37.93,27.28,51.81,61.11,73.28,7,7,7,6,5,4,2,3,2,5,6,7,75.6,7,68.97,6,37.84,3,49.27,4,12.5,7.41,7.14,14.81,21.05,40.0,57.89,31.82,62.5,31.82,28.0,16.0
18MYS,"POLYGON Z ((-73.18898285999995 -7.233684263999976 0, -72.19520384099997 -7.228649589999975 0, -72.18864685499994 -8.220663876999936 0, -73.18474514599995 -8.226398125999935 0, -73.18898285999995 -7.233684263999976 0))",AC,12,66.87,77.62,66.12,63.51,40.69,51.84,17.24,71.51,35.86,63.3,77.35,77.71,6,7,6,6,4,5,1,7,3,6,7,7,73.9,7,59.26,5,47.46,4,61.13,6,26.67,6.67,15.38,14.29,50.0,40.0,72.73,25.0,62.5,27.27,9.09,15.38
18MYT,"POLYGON Z ((-73.19235760999999 -6.329352865999965 0, -72.20042559899997 -6.324952905999965 0, -72.19465494399998 -7.317011384999944 0, -73.18862811399998 -7.322108245999971 0, -73.19235760999999 -6.329352865999965 0))",AM,13,65.82,80.29,65.41,69.6,46.75,55.52,25.88,62.45,45.79,62.62,76.7,78.11,6,8,6,6,4,5,2,6,4,6,7,7,74.71,7,61.17,6,50.12,5,63.27,6,20.0,6.25,15.38,14.29,33.33,30.77,66.67,16.67,37.5,25.0,9.09,15.38
18MYU,"POLYGON Z ((-73.19527224699993 -5.425531019999937 0, -72.20493544599998 -5.421763287999966 0, -72.19994344299994 -6.413860514999953 0, -73.19204599999995 -6.418322819999958 0, -73.19527224699993 -5.425531019999937 0))",AM,13,76.39,77.95,83.56,74.15,64.24,52.2,15.99,46.81,26.43,48.49,75.24,68.27,7,7,8,7,6,5,1,4,2,4,7,6,74.34,7,74.37,7,38.33,3,53.08,5,7.14,11.54,0.0,14.29,30.43,31.82,81.82,50.0,72.22,52.38,11.54,28.0
