PATH,ROW,geometry,STATE,STATE_GEOCODE,Avg_CC_Jan,Avg_CC_Feb,Avg_CC_Mar,Avg_CC_Apr,Avg_CC_May,Avg_CC_Jun,Avg_CC_Jul,Avg_CC_Aug,Avg_CC_Sep,Avg_CC_Oct,Avg_CC_Nov,Avg_CC_Dec,CC_Level_Jan,CC_Level_Feb,CC_Level_Mar,CC_Level_Apr,CC_Level_May,CC_Level_Jun,CC_Level_Jul,CC_Level_Aug,CC_Level_Sep,CC_Level_Oct,CC_Level_Nov,CC_Level_Dec,Avg_CC_Summer,CC_Level_Summer,Avg_CC_Autumn,CC_Level_Autumn,Avg_CC_Winter,CC_Level_Winter,Avg_CC_Spring,CC_Level_Spring,ProbCC_30_Jan,ProbCC_30_Feb,ProbCC_30_Mar,ProbCC_30_Apr,ProbCC_30_May,ProbCC_30_Jun,ProbCC_30_Jul,ProbCC_30_Aug,ProbCC_30_Sep,ProbCC_30_Oct,ProbCC_30_Nov,ProbCC_30_Dec
1,57,"POLYGON ((-62.69021422502469 4.98028206634571, -62.6902 4.98028, -63.00296498907414 3.519788459859325, -63.016 3.45892, -64.66404316288204 3.698321743599047, -64.6641 3.69833, -64.35745316447722 5.144893196637525, -64.3415 5.22015, -62.69021422502469 4.98028206634571))",RR,14,56.45,67.89,65.73,78.94,75.69,75.08,65.5,57.94,55.99,50.67,74.41,57.65,5,6,6,7,7,7,6,5,5,5,7,5,60.57,6,73.66,7,66.61,6,60.07,6,18.18,18.18,16.67,0.0,7.69,0.0,0.0,8.33,18.18,25.0,0.0,8.33
1,58,"POLYGON ((-63.32440246063994 2.01260035744379, -64.9705 2.25172, -64.95455776737388 2.326973865212075, -64.66404316288204 3.698321743599047, -64.6481 3.77358, -62.9999 3.53416, -63.00296498907414 3.519788459859325, -63.3244 2.0126, -63.32440246063994 2.01260035744379))",RR,14,57.24,72.58,57.23,81.78,70.23,79.87,67.71,70.98,52.85,52.31,66.34,65.5,5,7,5,8,7,7,6,7,5,5,6,6,65.12,6,70.07,7,73.08,7,57.17,5,18.18,0.0,16.67,0.0,7.69,0.0,7.69,0.0,0.0,9.09,0.0,16.67
1,59,"POLYGON ((-63.32440246063994 2.01260035744379, -63.61713228359266 0.6360736445608171, -63.632 0.56616, -65.27706776007167 0.8051353165776711, -65.2771 0.80514, -64.9546 2.32698, -64.95455776737388 2.326973865212075, -63.3084 2.08785, -63.32440246063994 2.01260035744379))",AM,13,50.52,63.89,52.12,86.35,63.17,73.77,75.33,60.67,47.42,52.42,50.12,55.52,5,6,5,8,6,7,7,6,4,5,5,5,56.61,5,67.61,6,70.26,7,49.99,4,18.18,27.27,41.67,0.0,7.69,7.14,0.0,25.0,27.27,18.18,36.36,16.67
1,60,"POLYGON ((-63.61713228359266 0.6360736445608171, -63.92293223992832 -0.8051353165776722, -63.9389 -0.88039, -65.584 -0.64141, -65.5828677164105 -0.6360736445757518, -65.27706776007167 0.8051353165776711, -65.2611 0.88039, -63.616 0.64141, -63.61713228359266 0.6360736445608171))",AM,13,55.82,61.08,61.19,66.7,59.28,63.63,76.31,52.44,39.9,55.64,53.41,46.57,5,6,6,6,5,6,7,5,3,5,5,4,54.26,5,62.42,6,64.42,6,49.83,4,27.27,18.18,16.67,15.38,15.38,14.29,0.0,41.67,27.27,25.0,36.36,50.0
1,61,"POLYGON ((-63.92293223992832 -0.8051353165776722, -63.9229 -0.80514, -64.22954292592541 -2.251703764384129, -64.24550000000001 -2.32698, -65.8916 -2.08785, -65.87559547650233 -2.012590657103921, -65.5828677164105 -0.6360736445757518, -65.568 -0.56616, -63.92293223992832 -0.8051353165776722))",AM,13,62.05,72.42,58.25,60.47,47.49,58.92,62.61,52.46,44.45,53.99,61.65,49.66,6,7,5,6,4,5,6,5,4,5,6,4,61.03,6,55.25,5,58.16,5,53.38,5,18.18,9.09,36.36,15.38,23.08,14.29,15.38,33.33,45.45,25.0,36.36,41.67
1,62,"POLYGON ((-64.22954292592541 -2.251703764384129, -64.2295 -2.25171, -64.53595683711796 -3.698311743599046, -64.5519 -3.77357, -66.20010000000001 -3.53415, -66.19699373227145 -3.519584906856498, -65.87560000000001 -2.01259, -65.87559547650233 -2.012590657103921, -64.22954292592541 -2.251703764384129))",AM,13,71.38,65.76,64.91,73.21,51.63,52.58,47.8,43.84,42.05,55.62,63.89,42.12,7,6,6,7,5,5,4,4,4,5,6,4,59.23,5,63.16,6,48.3,4,53.91,5,0.0,27.27,18.18,15.38,7.69,21.43,30.77,41.67,36.36,41.67,18.18,50.0
1,63,"POLYGON ((-64.53595683711796 -3.698311743599046, -64.5359 -3.69832, -64.84254673376597 -5.144873211135746, -64.85850000000001 -5.22013, -66.50978556862972 -4.980252096407134, -66.5098 -4.98025, -66.19699373227145 -3.519584906856498, -66.184 -3.45891, -64.53595683711796 -3.698311743599046))",AM,13,82.69,70.16,62.97,75.41,59.05,46.96,39.69,42.42,35.49,62.6,60.23,58.86,8,7,6,7,5,4,3,4,3,6,6,5,70.22,7,65.96,6,43.14,4,53.06,5,0.0,9.09,27.27,0.0,15.38,28.57,53.85,50.0,54.55,16.67,18.18,25.0
1,64,"POLYGON ((-65.14952878906843 -6.591365817922952, -65.16274155434742 -6.65361430494458, -65.16549999999999 -6.66661, -65.16550601034025 -6.666609126950334, -66.82087593114052 -6.426153496193035, -66.82089999999999 -6.42615, -66.50978556862972 -4.980252096407134, -66.4936 -4.90503, -64.84254673376597 -5.144873211135746, -64.8425 -5.14488, -65.14952878906843 -6.591365817922952))",AM,13,74.2,72.31,69.76,79.95,57.55,45.6,34.73,28.57,40.34,67.78,60.07,66.35,7,7,6,7,5,4,3,2,4,6,6,6,70.82,7,69.05,6,36.74,3,56.41,5,18.18,9.09,18.18,0.0,15.38,28.57,61.54,58.33,45.45,16.67,18.18,16.67
1,65,"POLYGON ((-67.12151252704504 -7.8154398765744, -66.82087593114052 -6.426153496193035, -66.80459999999999 -6.35094, -65.14952878906843 -6.591365817922952, -65.1495 -6.59137, -65.16274155434742 -6.65361430494458, -65.16550601034025 -6.666609126950334, -65.45718686509856 -8.037707382769879, -65.47320000000001 -8.11298, -67.1337 -7.87176, -67.12151252704504 -7.8154398765744))",AM,13,76.14,71.33,76.73,68.85,65.79,41.77,23.53,27.93,27.28,67.75,58.11,68.93,7,7,7,6,6,4,2,2,2,6,5,6,72.13,7,70.29,7,31.43,3,51.34,5,0.0,18.18,8.33,15.38,15.38,42.86,61.54,50.0,54.55,16.67,20.0,9.09
1,66,"POLYGON ((-65.76574325020484 -9.483913717767594, -65.77729463640237 -9.538039450759641, -65.7818 -9.559150000000001, -65.78181686878519 -9.559147549735073, -67.44859653637288 -9.317040503107009, -67.4486 -9.31704, -67.12151252704504 -7.8154398765744, -67.1174 -7.79656, -65.45718686509856 -8.037707382769879, -65.4571 -8.03772, -65.76574325020484 -9.483913717767594))",AM,13,78.65,68.33,79.64,64.7,59.82,27.93,15.41,21.27,23.42,48.06,49.55,69.95,7,6,7,6,5,2,1,2,2,4,4,6,72.31,7,67.43,6,21.71,2,39.79,3,9.09,18.18,0.0,7.69,30.77,71.43,84.62,75.0,81.82,30.0,20.0,18.18
